image_path,gt_path
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_1.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_1.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_10.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_10.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_100.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_100.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_101.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_101.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_102.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_102.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_103.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_103.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_104.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_104.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_105.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_105.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_106.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_106.mat
/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/images/IMG_107.jpg,/thay_thoainam/workspace/manhcuong/FederatedLearning_OC/datasets/ShanghaiTech/part_A/train_data/ground-truth/GT_IMG_107.mat
